id,parent,날짜,자산,분류,소분류,내용,금액,수입/지출,메모
146,,2023-11-24 23:44,은행,문화생활,,봄툰충전,11900,지출,
147,148,2023-11-23 23:44,은행,식비,,공차-효정,10300,지출,
148,,2023-11-23 23:44,일정,약속,,영수효정,30300,,
149,,2023-11-22 23:44,은행,식비,,생협불닭,1800,지출,
150,,2023-11-21 23:43,은행,식비,,원즈오운-지민,14800,지출,
151,,2023-11-20 23:43,은행,경조사/회비,,아빠생일선물(옷)-27일송금,75000,지출,
152,,2023-11-20 23:43,은행,식비,,아빠생일케이크,16500,지출,
153,,2023-11-19 23:43,은행,문화생활,,플로결제,790,지출,
154,156,2023-11-18 23:42,은행,식비,,코지인무르무르(저녁)-민아,18300,지출,
155,156,2023-11-18 23:42,은행,식비,,카공-민아,5500,지출,
156,,2023-11-18 23:42,일정,약속,,민아팀플,23800,,
157,,2023-11-15 23:42,은행,식비,,투썸카공,6500,지출,
158,,2023-11-13 23:41,은행,식비,,서브웨이,6900,지출,
159,,2023-11-12 23:41,은행,문화생활,,넷플,4250,지출,
160,,2023-11-12 23:41,은행,문화생활,,네이버페이-미스터블루3000원,10000,지출,
161,,2023-11-11 23:39,은행,경조사/회비,,지현지은언니생일케이크-지민,15750,지출,
162,,2023-11-10 23:39,은행,문화생활,,성시경콘,145000,지출,
163,165,2023-11-09 21:00,은행,식비,,그릭데이-민아,6400,지출,
164,165,2023-11-09 21:00,은행,식비,,와플잇업-민아,6500,지출,
165,,2023-11-09 21:00,일정,약속,,민아팀플,12900,,
166,,2023-11-08 21:00,은행,문화생활,,준수냥이,18500,지출,
167,,2023-11-06 20:59,은행,기타,,해비타트,10000,지출,
168,,2023-11-06 20:59,은행,식비,,생협시리얼바,1500,지출,
169,170,2023-11-03 20:59,은행,식비,,일산밥카페-채은(졸프),20000,지출,
170,,2023-11-03 20:59,일정,일정,,일산졸프,20000,,
171,,2023-11-01 20:56,은행,식비,,투썸카공-지민,6500,지출,
172,,2023-11-01 20:56,은행,문화생활,,빵준온(남),12000,지출,
173,,2023-11-01 20:56,은행,용돈,,,300000,수입,
174,175,2023-10-31 10:44,은행,식비,,연어카페-영수자두재철(30일),26800,지출,
175,,2023-10-30 10:44,일정,약속,,연어팟,26800,,
